min,max,item,amt,gp,sp,cp
1,20,mithril ingot,2,,,
1,20,adamantine ingot,2,,,
1,20,fancy parts,2,,,
21,30,rare branch,1,,,
21,30,uncommon branch,1,,,
21,30,rare poisonous reagent,1,,,
31,40,dragon scales,5,,,
41,50,rare magical ink,1,,,
41,50,rare curative reagent,1,,,
51,60,rare reactive reagent,1,,,
51,60,rare cooking supplies,2,,,
61,70,uncommon poisonous reagent,4,,,
61,70,uncommon curative reagent,3,,,
61,70,uncommon reactive reagent,3,,,
71,80,uncommon divine essence,1,,,
71,80,uncommon primal essence,1,,,
81,90,rare reactive reagent,1,,,
81,90,rare poisonous reagent,1,,,
81,90,rare curative reagent,1,,,
91,94,tough leather,1,,,
95,96,rare divine essence,1,,,
97,98,rare primal essence,1,,,
99,100,rare arcane essence,1,,,
