min,max,item,amt,gp,sp,cp
1,30,fancy parts,1d4,1d10,1d10,
31,40,parts,1d10,1d10+10,2d10,
31,40,leather scraps,1,1d20,,
31,40,metal scraps,1,1d20,,
41,50,uncommon poisonous reagent,1,1d6*10,,
51,60,uncommon curative reagent,1,1d6*10,,
61,80,uncommon reactive reagent,1,1d6*10,,
81,90,uncommon magical ink,1,1d6*10,,
81,90,uncommon parchment,1,,,
91,94,esoteric parts,1,2d6*10,,
95,96,uncommon divine essence,1,1d6*10,,
97,98,uncommon primal essence,1,1d6*10,,
99,100,uncommon arcane essence,1,1d6*10,,
